case;runtime;cputime
httpcore_uvloop_asyncio_http2, 0.35, 0.14
httpcore_uvloop_asyncio_http2, 0.40, 0.17
httpcore_uvloop_asyncio_http2, 0.37, 0.16
httpcore_uvloop_asyncio_http2, 0.41, 0.17
httpcore_uvloop_asyncio_http2, 0.47, 0.21
httpcore_uvloop_asyncio_http2, 0.41, 0.18
httpcore_uvloop_asyncio_http2, 0.39, 0.18
httpcore_uvloop_asyncio_http2, 0.38, 0.17
httpcore_uvloop_asyncio_http2, 0.41, 0.18
httpcore_uvloop_asyncio_http2, 0.40, 0.18
httpcore_uvloop_anyio_http2, 0.44, 0.25
httpcore_uvloop_anyio_http2, 0.43, 0.25
httpcore_uvloop_anyio_http2, 0.45, 0.26
httpcore_uvloop_anyio_http2, 0.55, 0.31
httpcore_uvloop_anyio_http2, 0.52, 0.30
httpcore_uvloop_anyio_http2, 0.39, 0.25
httpcore_uvloop_anyio_http2, 0.53, 0.31
httpcore_uvloop_anyio_http2, 0.52, 0.30
httpcore_uvloop_anyio_http2, 0.55, 0.32
httpcore_uvloop_anyio_http2, 0.52, 0.32
httpcore_uvloop_asyncio_http1, 0.26, 0.10
httpcore_uvloop_asyncio_http1, 0.31, 0.11
httpcore_uvloop_asyncio_http1, 0.31, 0.11
httpcore_uvloop_asyncio_http1, 0.36, 0.15
httpcore_uvloop_asyncio_http1, 0.36, 0.14
httpcore_uvloop_asyncio_http1, 0.35, 0.14
httpcore_uvloop_asyncio_http1, 0.35, 0.14
httpcore_uvloop_asyncio_http1, 0.36, 0.13
httpcore_uvloop_asyncio_http1, 0.37, 0.14
httpcore_uvloop_asyncio_http1, 0.36, 0.14
httpcore_uvloop_anyio_http1, 0.33, 0.18
httpcore_uvloop_anyio_http1, 0.33, 0.17
httpcore_uvloop_anyio_http1, 0.33, 0.18
httpcore_uvloop_anyio_http1, 0.40, 0.22
httpcore_uvloop_anyio_http1, 0.37, 0.21
httpcore_uvloop_anyio_http1, 0.43, 0.23
httpcore_uvloop_anyio_http1, 0.38, 0.22
httpcore_uvloop_anyio_http1, 0.39, 0.22
httpcore_uvloop_anyio_http1, 0.41, 0.23
httpcore_uvloop_anyio_http1, 0.39, 0.21
